Alimento,Valor energético (Kcal),Agua (g),Proteínas (g),Lípidos totales (g),Colesterol (mg),Saturados (g),Monoinsaturados (g),Polininsaturados (g),Trans (g),18:2 cis Linoléico (g),18:3 cis Alfa linolénico (ALA) (g),20:4 Araquidónico (g),20:5 n-3 Eicosapentae- noico (EPA) (g),22:6 n-3 Docosahexae- noico (DHA) (g),Carbohidratos disponibles (g),Carbohidratos totales (g),Azúcar total (g),Azúcar agregado (g),Fibra alimentaria (g),Alcohol (g),Cenizas (g),Sodio (mg),Potasio (mg),Calcio (mg),Cobre (mg),Fósforo (mg),Hierro (mg),Magnesio (mg),Zinc (mg),Niacina (mg),Folato EFD (µg),Ácido fólico (µg),"Vitamina A, (µg)
RAE",Retinol (µg),Tiamina (mg),Riboflavina (mg),Vitamina B-12 (µg),Vitamina C (mg),Vitamina D (µg)
Manteca light,509,43.2,3.3,55.1,106,34.32,15.93,2.05,1.01,1.24,0.802,0,0,0,0,0,0,0,0,0,0.5,218,71,48,0,34,1.09,5,0.26,0.02,1,0,465,456,0.010,0.070,0.13,0,0.40
Champagne,83,86.9,0.1,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,2.6,2.6,1.0,0,0,10.3,x,5,71,9,0.004,18,0.27,10,0.12,0.11,1,0,0,0,0.005,0.015,0,0,0
Vino blanco,83,86.9,0.1,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,2.6,2.6,1.0,0,0,10.3,0.2,5,71,9,0.004,18,0.27,10,0.12,0.11,1,0,0,0,0.005,0.015,0,0,0
Galletitas dulces rellenas bañadas en chocolate,520,0.2,6.8,25.0,0,12.50,10.00,1.00,0,0.95,0.050,0,0,0,67.0,68.0,53.6,56.6,1.0,0,x,232,70,45,0.05,100,3.00,20,0.7,1.20,85,0,0,0,0.300,0.250,0,0,0
"Masa de tarta o empanada, inte- gral",325,30.3,7.0,12.3,0,5.00,6.00,1.00,0,0.95,0.050,0,0,0,46.6,50.4,0.3,0,3.8,0,x,696,69,10,0.09,70,0.76,14,0.5,0.73,12,0,0,0,0.062,0.023,0,0,0
Masa de tarta o empanadas,337,30.4,6.7,13.3,0,6.70,5.08,0.97,0.62,0.90,0.070,0,0,0,47.6,49.4,0.2,0,1.7,0,0.30,561,69,10,0.09,70,0.76,14,0.45,0.73,12,0,0,0,0.062,0.023,0,0,0
Masa de tarta o empanadas light,268,30.0,6.7,5.6,2.5,2.80,2.14,0.40,0.26,0.38,0.030,0,0,0,47.6,49.4,0.2,0,1.7,0,0.30,1,69,10,0.09,70,0.76,14,0.45,0.73,12,0,0,0,0.062,0.023,0,0,0
"Helado envasado con cucurucho,
PROMEDIO",262,49.6,3.2,12.8,19,7.90,3.60,0.45,0.40,0.41,0,0,0,0,33.5,34.4,24.0,22.0,0.9,0,x,83,69,62,0.0125,48,0.04,5,0.15,0.04,3,0,14,14,0.023,0.085,0.23,0,0.04
"Trigo burgol, hervido",71,77.8,3.1,0.2,0,0.04,0.03,0.10,0,0.09,0.040,0,0,0,14.1,18.6,0.1,0,4.5,0,0.34,5,68,10,0.075,40,0.96,32,0.57,1.00,18,0,0,0,0.057,0.028,0,0,0
Helado de agua (heladería),112,72.2,0.2,0.1,0,0.00,0.00,0.00,0,0.00,0,0,0,0,27.5,27.5,27.5,27.5,1.0,0,x,20,68,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Harina de maíz, hervida",108,71.2,3.0,0.4,0,0.06,0.09,0.23,0,0.00,0,0,0,0,21.5,24.6,0.2,0,3.0,0,0.28,6,67,3,0.04,22,0.65,5,0.09,0.60,12,0,3,0,0.047,0.033,0,0,0
"Leche fórmula inicio, fluida",66,88.0,1.2,3.3,0.3,0.81,1.67,0.86,0,0.70,0.079,0.006,0,0.006,7.6,7.6,7.6,0,0.8,0,x,24,67,54,0.04,31,0.86,5,0.58,0.44,17,10,60,60,0.053,0.079,0.18,12.5,1.29
"Mondongo, crudo",81,84.2,12.1,3.7,122,1.29,1.53,0.18,0.15,0.13,0.007,0.048,0,0,0,0,0,0,0,0,0.55,97,67,69,0.07,64,0.59,13,1.42,0.88,5,0,0,0,0,0.064,1.39,0,0
"Arroz blanco, crudo",339,12.5,6.9,0.2,0,0.05,0.06,0.05,0,0.04,0.010,0,0,0,77.5,79.2,0.3,0,1.7,0,1.2,4,66,9,0.11,84,0.63,35,1.16,1.60,9,0,0,0,0.038,0.091,0,0,0
"Pera, enlatada (fruta y almíbar)",72,80.4,0.2,0.1,0,0.01,0.03,0.03,0,0.03,0,0,0,0,17.6,19.2,15.2,9.1,1.6,0,0.15,5,65,5,0.049,7,0.22,4,0.08,0.24,1,0,0,0,0.010,0.022,0,1.1,0
Torta de manzana (panadería),317,37.6,3.0,16.1,0,2.46,7.45,5.38,0,4.81,0.568,0,0,0,40.0,42.6,21.4,21.4,2.6,0,x,333,65,22,0.047,43,1.22,10,0.23,1.43,29,15,5,5,0.141,0.106,0.08,1.3,0
Queso Cuartirolo,280,50.2,20.8,21.4,70,13.66,6.46,1.15,0.64,0.61,0.105,0,0,0,1.0,1.0,0.6,0,0,0,3.70,360,64,625,0.025,467,0.18,29,3.06,0.04,18,0,157,155,0.048,0.230,1.75,0,0.70
Queso Fontina,389,37.9,25.6,31.1,116,19.20,8.69,1.65,0.93,1.16,0.496,0,0,0,1.6,1.6,1.6,0,0,0,3.79,800,64,550,0.025,346,0.23,14,3.5,0.15,6,0,261,258,0.021,0.204,1.68,0,0.57
Grasa de pollo,626,28.9,3.7,68.0,58,20.25,30.30,14.20,0.75,13.26,0.700,0.040,0,0,0,0,0,0,0,0,0.28,32,64,7,0.029,54,0.70,6,0.45,2.04,1,0,125,125,0.021,0.059,0.07,0,3.30
Bizcochitos de arroz envasados (tipo galletita),397,5.0,6.4,3.9,0,1.80,1.60,0.30,0,0.00,0,0,0,0,84.0,84.7,10.8,10.8,0.7,0,x,403,59,8,0.099,76,0.57,32,1.04,1.44,8,0,0,0,0.034,0.082,0,0,0
"Cereal desayuno, copos azucara-
dos, sin fortificar",371,3.1,4.7,0.5,0,0.09,0.10,0.20,0,0.19,0.010,0,0,0,87.0,89.0,38.3,38.3,2.0,0,x,300,59,7,0.02,33,0.40,9,0.1,0.80,7,0,10,0,0.020,0.080,0,0,0
Puflito,371,3.1,4.7,0.5,0,0.09,0.10,0.20,0,0.19,0.010,0,0,0,87.0,89.0,38.3,38.3,2.0,0,x,32,59,7,0.02,33,0.40,9,0.1,0.80,7,0,10,0,0.020,0.080,0,0,0
Mermelada de frutas light,145,62.0,0.0,0.1,0,0.01,0.01,0.05,0,0.00,0,0,0,0,36.1,37.6,29.4,0,1.5,0,0.3,0,59,0,0.038,7,0,4,0.05,0.08,18,0,0,0,0.010,0.020,0,15.0,0
"Cous Cous, cocido",104,72.6,3.8,0.2,0,0.03,0.02,0.06,0,0.06,0.003,0,0,0,21.8,23.2,0.1,0,1.4,0,0.26,5,58,8,0.041,22,0.38,8,0.26,0.98,15,0,0,0,0.063,0.027,0,0,0
"Ananá, enlatado (fruta y almíbar)",84,78.0,0.4,0.1,0,0.01,0.01,0.04,0,0.02,0.017,0,0,0,20.3,21.1,16.9,8.5,0.8,0,0.40,1,57,13,0.101,5,0.38,16,0.12,0.29,5,0,1,0,0.080,0.025,0,12.8,0
Frutas abrillantadas,327,16.7,0.3,0.1,0,0.01,0.01,0.02,0,0.02,0,0,0,0,81.1,82.7,80.7,40.3,1.6,0,0.14,98,56,18,0.029,5,0.17,4,0.05,0,0,0,1,0,0,0,0,0,0
Bombones de fruta,327,16.7,0.3,0.1,0,0.01,0.01,0.02,0,0.00,0,0,0,0,81.1,82.7,80.7,40.0,1.6,0,0.14,98,56,18,0.029,5,0.17,4,0.05,0,0,0,1,0,0,0,0,0,0
Jalea tipo membrillo,277,29.8,0.2,0.0,0,0.01,0.00,0.00,0,0.00,0,0,0,0,69.0,70.0,51.2,51.2,1.0,0,0.12,30,54,7,0.011,6,0.19,6,0.03,0.04,2,0,0,0,0.001,0.026,0,0.9,0
"Pera, enlatada light (fruta y almí- bar)",26,91.8,0.2,0.0,0,0.00,0.01,0.01,0,0.01,0,0,0,0,6.2,7.8,6.1,0,1.6,0,0.16,2,53,4,0.051,7,0.21,4,0.09,0.05,1,0,0,0,0.008,0.010,0,1.0,0
"Cereal desayuno, aritos frutales",385,3.0,6.3,2.3,0,0.80,1.00,1.15,0,1.04,0.115,0,0,0,84.7,86.8,33.0,33.0,2.9,0,1.54,410,52,57,0.1,44,3.95,8,1.5,4.00,50,0,54,54,0.740,0.740,0,14.7,0
Miel,330,17.1,0.3,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,82.2,82.4,82.1,82.1,0.2,0,0.2,4,52,6,0.036,4,0.42,2,0.22,0.12,2,0,0,0,0,0.038,0,0.5,0
Helado de crema envasado,178,63.4,1.4,6.3,20,3.90,2.20,0.20,0,0.00,0,0,0,0,28.9,28.9,28.9,27.0,0,0,x,60,51,36,0.003,28,0.02,4,0.11,0.03,2,2,9,9,0.01,0.048,0.108,0.45,0
Alimento a base de almendras (le- che de almendras),36,91.6,0.4,1.0,0,0.00,0.63,0.21,0,0.21,0,0,0,0,6.2,6.6,6.3,6.3,0.4,0,0.32,63,50,128,0.017,8,0.30,7,0.06,0.08,1,0,60,60,0.015,0.010,0.74,0,1.00
Chipá,371,20.8,8.8,12.4,74,7.15,3.72,0.50,0.54,0.31,0.089,0.013,0,0,56.0,56.5,2.6,0,0.6,0,1.4,292,49,230,0.0,166,1.19,12,0.8,0.08,12,0,109,106,0.023,0.145,0.48,0,0.31
Café preparado a partir de grano molido (tipo café de filtro),1,99.4,0.1,0.0,0,0.00,0.02,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,0.35,2,49,2,0.002,3,0.01,3,0.02,0.19,2,0,0,0,0.014,0.076,0,0,0
Cubanito relleno,506,1.2,5.6,22.2,0,13.50,8.00,0.50,0,0.48,0,0,0,0,71.0,71.0,38.9,38.9,0,0,x,139,48,3,0.0432,39,1.25,7,0.21,0.81,122,66,0,0,0.247,0.060,0,0,0
Tita,506,3.6,5.7,24.0,15,12.00,8.90,1.20,0,1.14,0.060,0,0,0,66.7,66.7,37.0,37.0,0,0,x,206,48,3,0.0432,39,1.25,7,0.21,0.81,122,66,0,0,0.247,0.060,0,0,0
"Sushi, PROMEDIO",87,76.4,2.9,0.7,4.0,0.13,0.40,0.13,0,0.10,0.007,0,0.001,0.005,17.4,18.4,2.1,2.1,1.0,0,x,429,47,6,0.05,60,0.22,13,0.38,0.39,5,0,4,0,0.023,0.034,0.10,0.9,0
"Almeja, cruda",82,79.0,14.7,1.0,30,0.19,0.12,0.19,0.02,0.03,0.015,0.011,0.043,0.064,3.6,3.6,0,0,0,0,1.82,601,46,39,0.053,198,1.62,19,0.51,0.35,5,0,90,90,0.015,0.040,11.28,0,0.04
"Snacks saborizados salados a base de sémola de arroz, hornea- dos, tipo Palitos de arroz / aros de cebolla",461,12.2,8.0,22.8,0,2.42,5.68,14.03,0,13.91,0.114,0,0,0,56.0,57.0,0,0,1.0,0,x,800,46,6,0.077,59,0.44,23,0.77,1.06,4,0,0,0,0.020,0.056,0,0,0
"Bizcochuelo preparado a partir de polvo premezcla, SIN TACC",266,36.5,4.2,4.6,66,2.09,1.73,0.45,0.02,0.35,0,0,0,0,52.1,52.9,25.3,24.4,0.9,0,0.3,218,44,60,0.010,49,0.53,4,0.3,0.03,55,28,26,25,0.164,0.130,0.35,0,0.20
"Fideos secos, fortificados, hervidos",148,62.1,5.8,0.9,0,0.18,0.13,0.33,0,0.30,0.024,0,0,0,29.1,30.9,0.6,0,1.8,0,0.27,1,44,7,0.1,58,1.35,18,0.77,1.28,40,21,46,46,0.154,0.135,0,0,0
"Fideos secos, hervidos",148,62.1,5.8,0.9,0,0.18,0.13,0.33,0,0.30,0.024,0,0,0,29.1,30.9,0.6,0,1.8,0,0.27,1,44,7,0.1,58,0.50,18,0.51,0.40,7,0,0,0,0.020,0.020,0,0,0
Leche materna,70,87.0,1.1,4.2,14,1.92,1.47,0.80,0,0.74,0.022,0.022,0.003,0.009,6.9,7.1,6.9,0,0,0,0.60,11,44,32,0.052,14,0.04,3,0.17,0.40,5,0,61,60,0.018,0.035,0.05,4.4,3.00
Aceituna verde,130,75.2,1.5,13.5,0,2.03,11.31,1.31,0,1.22,0.092,0,0,0,0.5,4.0,0.5,0,3.3,0,4.53,1556,42,52,0.12,17,1.03,11,0.04,0.24,3,0,20,0,0.025,0.007,0,0,0
"Mondongo, hervido",91,81.7,11.7,4.1,157,1.36,1.60,0.21,0.20,0.14,0.008,0.057,0,0,2.0,2.0,0,0,0,0,0.6,68,42,81,0,66,0.66,15,1.71,0.46,3,0,0,0,0,0.025,0.72,0,0
"Jugo de fruta envasado, varios sa- bores",49,86.2,0.2,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,12.2,12.2,12.2,6.1,0,0,x,14,42,2,0.018,4,0.11,3,0.02,0.20,4,0,2,0,0.045,0.015,0,13.0,0
Fernet,280,60.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,40,x,5,42,8,0,7,0.50,5,0,0,0,0,0,0,0,0,0,0,0
Vermouth,138,74.0,0.1,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,13.5,13.5,13.5,0,0,12,x,23,42,8,0,7,0.50,5,0,0,0,0,0,0,0,0,0,0,0
"Sémola fortificada, hervida",73,80.9,2.8,0.2,0,0.03,0.03,0.09,0,0.08,0.009,0,0,0,15.1,15.9,0,0,0.9,0,0.17,0,41,66,0.04,30,0.92,10,0.44,1.05,44,15,0,0,0.079,0.083,0.17,0,0
"Alcaparras, encurtido",24,83.9,2.4,0.9,0,0.23,0.06,0.30,0,0.11,0.183,0.002,0,0,1.7,4.9,0.4,0,3.2,0,8.04,2348,40,40,0.374,10,1.67,33,0.32,0.65,23,0,7,0,0.018,0.139,0,4.3,0
"Sémola, hervida",71,81.4,2.7,0.2,0,0.03,0.03,0.09,0,0.00,0,0,0,0,14.7,15.5,0,0,0.8,0,0.16,0,40,4,0.04,29,0.26,10,0.22,0.56,14,0,0,0,0.048,0.017,0,0,0
Cerveza sin alcohol,25,93.3,0.4,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,5.4,5.4,5.4,0,0,0.33,0.12,3,40,5,0.005,20,0.02,8,0.008,0.61,15,0,0,0,0.055,0.017,0.02,0.5,0
Vinagre,1,94.5,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0.3,0.3,0,0,0,0,0.17,8,39,6,0.01,8,0.45,4,0.03,0,0,0,0,0,0,0,0,0.5,0
Morcilla,374,47.3,14.6,34.5,120,13.40,15.90,3.46,0,3.20,0.260,0,0,0,1.3,1.3,1.3,0,0,0,2.31,680,38,6,0.04,22,6.40,8,1.3,1.20,5,0,0,0,0.070,0.130,1.00,0,1.3
Gomitas de gelatina,374,6.3,0.0,0.1,0,0.00,0.00,0.00,0,0.00,0,0,0,0,93.4,93.6,70.0,70.0,0.2,0,0.1,50,37,3,0.028,4,0.13,2,0.05,0.01,0,0,0,0,0.004,0.011,0,0,0
"Capelettis / capelettinis deshidra- tados, envasados, hervidos",135,68.3,4.2,2.5,1.9,1.00,0.58,0.58,0,0.52,0.058,0,0,0,23.9,25.0,0,0,1.1,0,x,180,36,137,0.03,26,0.24,9,0.3,2.22,9,0,86,86,0.135,0.208,0,0,0.69
Chipá preparado a partir de polvo premezcla,316,39.3,5.5,12.1,111,3.08,5.93,1.66,0.01,1.41,0.141,0.032,0,0,46.1,46.5,0.1,0,0.4,0,0.28,706,34,17,0.02,58,0.94,3,0.38,0.04,12,0,40,40,0.030,0.204,0.41,0,0.36
Rhodesia,519,3.5,4.0,29.3,0.7,15.60,9.00,3.33,0,3.16,0.167,0,0,0,59.9,63.2,46.6,46.6,3.3,0,x,13,32,2,0.0288,26,0.83,4,0.14,0.54,81,44,0,0,0.164,0.040,0,0,0
Margarina untable light,472,42.0,0.2,52.0,0,23.20,8.79,20.50,0.57,21.00,0.410,0,0,0,0.9,0.9,0,0,0,0,x,610,30,21,0,16,0,2,0,0.02,1,0,900,900,0.007,0.026,0,0.1,0
"Arroz blanco, hervido",126,68.6,2.4,0.2,0,0.06,0.07,0.06,0,0.05,0.010,0,0,0,28.6,28.6,0.1,0,0.6,0,0.21,0,29,3,0.038,37,0.20,13,0.42,0.40,2,0,0,0,0.020,0.016,0,0,0
Aderezo Caesar o Ranch,380,52.1,2.2,40.0,39,5.00,10.00,24.00,0,23.52,0.480,0,0,0,2.8,3.3,2.8,2.8,0.5,0,2.4,1209,29,48,0.01,19,1.08,2,0.11,0.04,2,0,9,9,0.010,0.010,0.03,0.3,0.20
"Bebida láctea parcialmente des- cremada fluida, baja en lactosa, fortificada con vitaminas A, D, B2, B9 y Zinc",44,90.1,0.8,0.9,3.9,0.50,0.40,0.10,0,0.07,0.020,0,0,0,8.3,8.3,8.3,7.9,1.0,0,x,15,28,121,x,19,1.00,2,0.38,0.02,87,51,64,64,0.006,0.037,0.09,8.2,1.0
Barra crocante de arroz,399,0.2,2.8,0.8,0,0.50,0.20,0.10,0,0.00,0,0,0,0,95.0,95.7,64.8,64.8,0.7,0,0.5,2,27,4,0.04,34,0.26,14,0.5,0.58,4,0,0,0,0.012,0.033,0,0,0
Cerveza con alcohol,43,92.0,0.5,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,3.6,3.6,0,0,0,3.9,0.16,4,27,4,0.005,14,0.02,6,0.01,0.51,6,0,0,0,0.005,0.025,0.02,0,0
Dr. Lemon,68,85.7,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,10.1,10.1,9.8,9.8,0,4,0.13,5,27,4,0.008,7,0.03,4,0.01,0.23,4,0,0,0,0.006,0.010,0.01,2.8,0
"Fideos de arroz, SIN TACC, crudos",168,57.7,3.2,1.0,0,0.15,0.26,0.33,0.00,0.31,0.013,0,0,0,36.7,38.1,0,0,1.4,0,0.07,4,24,2,0.02,33,0.22,11,0.27,0.24,4,0,4,0,0.050,0.079,0,0,0
"Fideos frescos, al huevo, hervidos",98,74.6,4.1,1.5,33,0.15,0.12,0.43,0,0.39,0.037,0,0,0,16.9,16.9,0.6,0,2.1,0,0.3,6,24,6,0.093,63,1.14,18,0.56,0.99,104,57,6,6,0.209,0.150,0.14,0,0
Mayonesa de soja,212,71.0,0.6,19.2,0,2.04,0.00,1.25,0,0.76,0,0,0,0,9.2,9.2,4.2,4.2,0.3,0,x,741,24,14,0.001,30,0.26,2,0.18,0,6,0,21,12,0.010,0.020,0,0,0
Mayonesa light,270,54.3,0.9,19.0,26,2.01,4.74,11.69,0,11.59,0.095,0.019,0.001,0.005,10.0,10.0,4.3,4.3,0,0,2,837,24,14,0.001,30,0.26,2,0.18,0,6,0,21,12,0.010,0.020,0.21,0,0
"Pickles, en vinagre",7,94.1,0.3,0.2,0,0.05,0.00,0.08,0,0.03,0.046,0,0,0,1.1,2.3,1.1,0,1.2,0,3.13,1208,23,0,0.085,14,0.40,4,0.02,0,1,0,10,0,0,0.010,0,1.0,0
"Milanesa de arroz, prefrita",240,51.6,3.8,12.1,0,1.30,3.40,7.40,0,7.30,0.100,0,0,0,29.1,32.6,0,0,3.5,0,x,531,20,2,0.027,26,0.14,9,0.29,0.28,1,0,0,0,0.014,0.011,0,0,0
"Premezcla para bizcochuelo, SIN TACC",377,9.6,3.6,3.8,20,1.90,1.30,0.60,0,0.57,0.030,0,0,0,82.0,83.0,51.1,51.4,1.0,0,x,311,20,5,0.11,84,0.50,10,0.5,0.50,15,0,0,0,0.050,0.050,0,0,0
Mayonesa,391,52.3,0.6,40.0,33,4.24,9.97,24.61,0,24.41,0.200,0,0,0,7.1,7.1,3.5,3.5,0,0,x,833,20,8,0.019,21,0.21,1,0.15,0,5,0,16,15,0.010,0.019,0.12,0,0.2
Margarina (en pote y en pan),559,16.0,0.2,61.7,0,27.60,10.43,24.30,0.88,23.00,0.486,0,0,0,0.7,0.7,0,0,0,0,1.92,295,18,3,0,5,0.06,3,0,0.02,1,0,450,450,0.010,0.037,0.10,0.2,3.75
Manteca,758,15.3,0.5,84.0,215,50.93,22.23,3.22,3.28,2.17,0.315,0,0,0,0.1,0.1,0.1,0,0,0,0.2,223,15,15,0.016,24,0.16,2,0.09,0.04,3,0,684,671,0.005,0.034,0.17,0,0
"Gatorade, varios sabores",28,91.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,7.0,7.0,7.0,7.0,0,0,x,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gatorade Zero, varios sabores (sin azúcar)",0,98.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,x,55,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Powerade, varios sabores",24,93.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,6.0,6.0,6.0,6.0,0,0,x,45,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Powerade Zero, varios sabores (sin azúcar)",0,98.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,x,45,12,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0
"Tapioca (almidón de mandioca), crudo",352,11.0,0.2,0.0,0,0.01,0.01,0.00,0,0.00,0.001,0,0,0,87.8,88.7,3.4,0,0.9,0,0.11,1,11,20,0.02,7,1.00,1,0.12,0,4,0,0,0,0.004,0,0,0,0
Galleta marinera,350,10.5,12.8,0.7,0,0.16,0.09,0.41,0,0.39,0.022,0,0,0,73.1,75.9,0,0,2.8,0,0.10,30,10,16,0.144,131,4.15,22,0.7,1.90,200,106,0,0,0.464,0.131,0,0,0
Caramelos masticables,398,3.8,0.9,6.0,0,3.57,1.72,0.39,0.01,0.38,0.010,0,0,0,85.1,85.1,54.5,54.5,0,0,x,30,10,3,0,4,0.10,2,0,0,0,0,13,0,0,0,0,0,0
"Fideos de arroz, SIN TACC, hervi- dos",65,83.7,1.2,0.4,0,0.06,0.10,0.13,0.00,0.12,0.005,0,0,0,14.1,14.6,0,0,0.5,0,0.03,2,9,1,0.01,13,0.08,4,0.10,0.09,2,0,2,0,0.019,0.030,0,0,0
Aceituna negra,119,80.0,0.8,10.9,0,2.28,7.65,0.63,0,0.63,0,0,0,0,4.4,6.0,0,0,1.6,0,2.23,735,8,88,0.251,3,6.28,4,0.22,0.04,0,0,17,0,0.003,0,0,0.9,0
Polvo de hornear,96,4.0,0.1,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,23.9,24.1,0,0,0.2,0,71.8,7893,5,7364,0.013,9918,11.27,39,0.02,0,0,0,0,0,0,0,0,0,0
Caramelos duros,394,1.3,0.0,0.2,0,0.00,0.00,0.00,0,0.00,0,0,0,0,98.0,98.0,62.9,62.9,0,0,0.5,38,5,3,0.029,3,0.30,3,0.01,0.01,0,0,0,0,0.004,0.003,0,0,0
Caramelos rellenos,394,1.3,0.0,0.2,0,0.00,0.00,0.00,0,0.00,0,0,0,0,98.0,98.0,62.9,62.9,0,0,0.5,38,5,3,0.029,3,0.30,3,0.01,0.01,0,0,0,0,0.004,0.003,0,0,0
Chupetín,394,1.3,0.0,0.2,0,0.00,0.00,0.00,0,0.00,0,0,0,0,98.0,98.0,62.9,62.9,0,0,0.5,38,5,3,0.029,3,0.30,3,0.01,0.01,0,0,0,0,0.004,0.003,0,0,0
"Almidón de maíz, crudo",363,8.3,0.3,0.1,0,0.01,0.02,0.03,0,0.03,0,0,0,0,90.4,91.3,0,0,0.9,0,0.09,9,3,2,0.05,13,0.47,3,0.06,0,0,0,0,0,0,0,0,0,0
"Almidón de mandioca, crudo",363,8.3,0.3,0.1,0,0.01,0.02,0.03,0,0.03,0,0,0,0,90.4,91.3,0,0,0.9,0,0.09,9,3,2,0.05,13,0.47,3,0.06,0,0,0,0,0,0,0,0,0,0
Azúcar blanca molida,400,0.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,100.0,100.0,99.8,99.8,0,0,0.01,1,2,1,0.007,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0
Azúcar impalpable,399,0.2,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,99.8,99.8,97.8,97.8,0,0,0.01,1,2,1,0.007,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0
Chicles,380,2.6,0.0,0.3,0,0.04,0.08,0.14,0,0.00,0,0,0,0,94.3,96.7,66.1,66.1,2.4,0,0.4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gaseosa con azúcar, PROMEDIO",40,90.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,10.0,10.0,10.0,10.0,0,0,x,10,2,2,0.005,2,0.03,1,0.06,0,0,0,0,0,0,0,0,0,0
"Gaseosa light, PROMEDIO",0,98.0,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,0,x,18,2,4,0.022,3,0.03,1,0,0,0,0,0,0,0,0,0,0,0
"Bebida destilada, PROMEDIO",234,66.6,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,33.4,0.01,1,2,0,0.021,4,0.04,0,0.04,0.01,0,0,0,0,0.006,0.004,0,0,0
Vodka,298,57.5,0.0,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0,0,0,0,0,42.5,0.01,1,2,0,0.021,4,0.04,0,0.04,0.01,0,0,0,0,0.006,0.004,0,0,0
Aceite de maíz,900,0.0,0.0,100.0,0,17.00,71.10,12.40,0,9.76,0.761,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0
"Gelatina light, preparada a partir de polvo",8,97.8,1.5,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,0.5,0.5,0,0,0,0,0.21,75,1,3,0.007,68,0.01,1,0,0,0,0,0,0,0,0,0,0,0
Gelatina preparada a partir de polvo,14,96.4,1.5,0.0,0,0.00,0.00,0.00,0,0.00,0,0,0,0,1.9,1.9,1.8,1.8,0,0,0.2,69,1,3,0.024,22,0.02,1,0.01,0.00,1,0,0,0,0,0.006,0,0,0
Aceite comestible mezcla,900,0.0,0.0,100.0,0,7.37,63.28,28.14,0.40,18.64,9.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de canola,900,0,0.0,100.0,0,10.83,7.51,76.98,0.46,18.98,58.003,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de chía,892,0,0.0,99.1,0,82.48,6.33,1.70,0.03,1.68,0.019,0,0,0,0,0,0,0,0,0,0.03,0,0,1,0,0,0.05,0,0.02,0,0,0,0,0,0,0,0,0,0
Aceite de coco,900,0.0,0.0,100.0,0,10.60,24.93,61.53,0,61.03,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de girasol,900,0,0.0,100.0,0,9.86,83.69,3.80,0,3.61,0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aceite de girasol alto oleico,900,0.0,0.0,100.0,0,15.20,34.40,47.67,0,46.41,1.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
